ID,Make,Model,Year,Trim,Trim (description),Base MSRP,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),EPA combined MPG,EPA city/highway MPG,Range in miles (city/hwy),Country of origin,Car classification,Platform code / generation number
401890929,BMW,3 Series,2022,M3,M3 4dr Sedan (3.0L 6cyl Turbo 6M),"$70,100",Sedan,189.1,74.3,56.4,112.5,3840,I6,3,473,6250,406,2650,rear wheel drive,6-speed manual,gas,premium unleaded (required),15.6,19,16/23 MPG,249.6/358.8 mi.,Europe/Germany,Compact car,G20
401911605,BMW,3 Series,2022,M3 Competition,M3 Competition 4dr Sedan (3.0L 6cyl Turbo 8A),"$73,000",Sedan,189.1,74.3,56.4,112.5,3890,I6,3,503,6250,479,2750,rear wheel drive,8-speed automatic,gas,premium unleaded (required),15.6,19,16/23 MPG,249.6/358.8 mi.,Europe/Germany,Compact car,G20
401911604,BMW,3 Series,2022,M3 Competition xDrive,M3 Competition xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$77,100",Sedan,189.1,74.3,56.5,112.5,3990,I6,3,503,6250,479,2750,all wheel drive,8-speed automatic,gas,premium unleaded (required),15.6,18,16/22 MPG,249.6/343.2 mi.,Europe/Germany,Compact car,G20
401828691,BMW,3 Series,2020,330i,330i 4dr Sedan (2.0L 4cyl Turbo 8A),"$40,750",Sedan,185.7,71.9,56.8,112.2,3589,I4,2,255,5000,295,1550,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.6,30,26/36 MPG,405.6/561.6 mi.,Europe/Germany,Compact car,G20
401828692,BMW,3 Series,2020,330i xDrive,330i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$42,750",Sedan,185.7,71.9,56.8,112.2,3772,I4,2,255,5000,295,1550,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.6,28,25/34 MPG,390.0/530.4 mi.,Europe/Germany,Compact car,G20
401779949,BMW,3 Series,2020,M340i,M340i 4dr Sedan (3.0L 6cyl Turbo 8A),"$54,000",Sedan,185.7,71.9,56.4,112.2,3849,I6,3,382,5800,369,1800,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.6,25,22/30 MPG,343.2/468.0 mi.,Europe/Germany,Compact car,G20
401795591,BMW,3 Series,2020,M340i xDrive,M340i xDrive 4dr Sedan AWD (3.0L 6cyl Turbo 8A),"$56,000",Sedan,185.7,71.9,56.7,112.2,3968,I6,3,382,5800,369,1800,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.6,25,22/30 MPG,343.2/468.0 mi.,Europe/Germany,Compact car,G20
401729246,BMW,3 Series,2018,320i,320i 4dr Sedan (2.0L 4cyl Turbo 8A),"$34,900",Sedan,182.8,71.3,56.3,110.6,3370,I4,2,180,5000,200,1250,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,28,24/35 MPG,379.2/553.0 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729240,BMW,3 Series,2018,320i xDrive,320i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$36,900",Sedan,182.8,71.3,56.5,110.6,3510,I4,2,180,5000,200,1250,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,27,23/34 MPG,363.4/537.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729243,BMW,3 Series,2018,330i,330i 4dr Sedan (2.0L 4cyl Turbo 8A),"$40,250",Sedan,182.8,71.3,56.3,110.6,3541,I4,2,248,5200,258,1450,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,27,23/34 MPG,363.4/537.2 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729244,BMW,3 Series,2018,330i xDrive,330i xDrive 4dr Sedan AWD (2.0L 4cyl Turbo 8A),"$42,250",Sedan,182.8,71.3,56.5,110.6,3706,I4,2,248,5200,258,1450,all wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,27,23/33 MPG,363.4/521.4 mi.,Europe/Germany,Compact car,"F30, F31, F80"
401729238,BMW,3 Series,2018,340i,340i 4dr Sedan (3.0L 6cyl Turbo 8A),"$48,950",Sedan,182.8,71.3,56.3,110.6,3695,I6,3,320,5500,330,1380,rear wheel drive,8-speed shiftable automatic,gas,premium unleaded (recommended),15.8,25,21/32 MPG,331.8/505.6 mi.,Europe/Germany,Compact car,"F30, F31, F80"
